work_id,domain_id,relation
W3107700078,plant,inDomain
W3081667585,plant,inDomain
W3045222827,human,inDomain
W3141469998,other,inDomain
W3129995686,human,inDomain
W3214389270,other,inDomain
W3159175200,tool-method,inDomain
W3209545809,tool-method,inDomain
W4281774004,plant,inDomain
W4285726620,plant,inDomain
W4229447746,human,inDomain
W3042732083,plant,inDomain
W3195445434,human,inDomain
W3190126839,tool-method,inDomain
W3011081894,plant,inDomain
W3037808763,other,inDomain
W3035248535,human,inDomain
W3129916067,plant,inDomain
W3096197416,tool-method,inDomain
W3092697065,human,inDomain
W4285173471,plant,inDomain
W4322767187,human,inDomain
W4390608966,plant,inDomain
W3036843213,human,inDomain
W3194408081,plant,inDomain
W3122540149,plant,inDomain
W3028688800,human,inDomain
W2999733722,other,inDomain
W3215308585,virus,inDomain
W3124204293,human,inDomain
W3094651023,human,inDomain
W3043532768,plant,inDomain
W4310046323,tool-method,inDomain
W3158780063,human,inDomain
W3205442753,plant,inDomain
W3000361107,human,inDomain
W3041742174,plant,inDomain
W3216873694,microbiome,inDomain
W3044161677,plant,inDomain
W3047286145,human,inDomain
W3132644980,human,inDomain
W3028058903,human,inDomain
W3103754182,virus,inDomain
W4213358058,plant,inDomain
W3042072141,tool-method,inDomain
W3005785227,tool-method,inDomain
W4306252584,other,inDomain
W3011864366,plant,inDomain
W3179423943,virus,inDomain
W4308266113,virus,inDomain
W3182508478,microbiome,inDomain
W3005408857,human,inDomain
W3006367816,virus,inDomain
W3032815243,human,inDomain
W3073875730,plant,inDomain
W3156624423,other,inDomain
W3182837943,human,inDomain
W3007397157,human,inDomain
W3161708162,plant,inDomain
W4308616062,virus,inDomain
W3110696950,virus,inDomain
W4226000574,microbiome,inDomain
W4389670704,human,inDomain
W3089213722,other,inDomain
W3039234910,virus,inDomain
W3169130294,tool-method,inDomain
W4386369120,plant,inDomain
W3196442233,tool-method,inDomain
W3138297312,virus,inDomain
W3093352013,plant,inDomain
W3017216879,human,inDomain
W4388534600,human,inDomain
W3108429045,other,inDomain
W3194572293,virus,inDomain
W3107762183,other,inDomain
W3083031381,human,inDomain
W3099124058,virus,inDomain
W3016299625,human,inDomain
W3007324177,human,inDomain
W3146423745,virus,inDomain
W3201343058,human,inDomain
W3162057263,plant,inDomain
W3183741867,virus,inDomain
W3034934451,human,inDomain
W3022396962,virus,inDomain
W3080967255,human,inDomain
W3031411888,virus,inDomain
W3184440907,tool-method,inDomain
W3097452331,human,inDomain
W4378976294,human,inDomain
W3121486804,plant,inDomain
W659378956,human,inDomain
W3008479721,human,inDomain
W3139367551,human,inDomain
W4205681504,human,inDomain
W3199434319,human,inDomain
W4205950007,plant,inDomain
W3017342212,tool-method,inDomain
W3005235420,tool-method,inDomain
W3160025918,human,inDomain
W4389132747,human,inDomain
W3176204079,human,inDomain
W3188348639,plant,inDomain
W4307584884,plant,inDomain
W3048293476,microbiome,inDomain
W3106975553,human,inDomain
W3006038767,human,inDomain
W4210701812,other,inDomain
W3164117052,human,inDomain
W3110169235,cancer,inDomain
W3031374097,tool-method,inDomain
W3161034134,virus,inDomain
W3084301609,human,inDomain
W3043763415,tool-method,inDomain
W3111525365,tool-method,inDomain
W3138098406,microbiome,inDomain
W3048367870,human,inDomain
W3024872414,other,inDomain
W2999916586,human,inDomain
W4283759841,plant,inDomain
W4206409428,human,inDomain
W3080097995,human,inDomain
W3024108179,plant,inDomain
W3162125475,virus,inDomain
W3028632011,human,inDomain
W3131612759,cancer,inDomain
W3181792462,virus,inDomain
W4320494454,plant,inDomain
W3161622382,microbiome,inDomain
W3020908563,other,inDomain
W3014099245,plant,inDomain
W4280649038,plant,inDomain
W4210494137,virus,inDomain
W4205236321,human,inDomain
W3217739320,other,inDomain
W2998989016,other,inDomain
W3164567439,plant,inDomain
W3164961447,tool-method,inDomain
W3208266771,tool-method,inDomain
W4281561633,human,inDomain
W3022107839,plant,inDomain
W4207084580,tool-method,inDomain
W3046061267,other,inDomain
W3093771475,tool-method,inDomain
W3012944241,virus,inDomain
W3099982573,plant,inDomain
W3210200039,human,inDomain
W3117945779,human,inDomain
W4391100251,human,inDomain
W3105859013,plant,inDomain
W4221132928,human,inDomain
W3029265305,plant,inDomain
W3167867098,other,inDomain
W4391997401,other,inDomain
W3157128367,microbiome,inDomain
W3010627043,plant,inDomain
W3016662794,other,inDomain
W3173730881,human,inDomain
W3008435731,plant,inDomain
W3099945355,plant,inDomain
W4378189287,plant,inDomain
W3194095174,other,inDomain
W3125922838,microbiome,inDomain
W3083358975,human,inDomain
W4221042877,human,inDomain
W2999869862,plant,inDomain
W3146196870,plant,inDomain
W3007553916,plant,inDomain
W3037349235,microbiome,inDomain
W3036555894,other,inDomain
W4308174537,human,inDomain
W3207939327,tool-method,inDomain
W3003501768,plant,inDomain
W3037775055,plant,inDomain
W4327909816,virus,inDomain
W3011565822,human,inDomain
W3172652410,tool-method,inDomain
W4206641739,other,inDomain
W3028202170,microbiome,inDomain
W3018615967,microbiome,inDomain
W3199195377,plant,inDomain
W3129515806,other,inDomain
W3016609678,human,inDomain
W3170431728,other,inDomain
W4328049762,human,inDomain
W3163150242,plant,inDomain
W4293116279,virus,inDomain
W3042122970,human,inDomain
W3019415451,tool-method,inDomain
W3088101909,human,inDomain
W3135025442,human,inDomain
W3106204292,human,inDomain
W3023051623,tool-method,inDomain
W3043453458,virus,inDomain
W3043527810,microbiome,inDomain
W3202168308,plant,inDomain
W3008209667,tool-method,inDomain
W4225129690,human,inDomain
W3194895608,human,inDomain
W3024064700,human,inDomain
W3107101620,human,inDomain
W3002832353,human,inDomain
W3011613560,other,inDomain
W3022164816,human,inDomain
W3002194232,other,inDomain
W3200130214,virus,inDomain
W3195370685,microbiome,inDomain
W3089959412,plant,inDomain
W3004293435,plant,inDomain
W4206621711,plant,inDomain
W4313611824,cancer,inDomain
W4393035934,tool-method,inDomain
W3010020071,virus,inDomain
W4206495906,plant,inDomain
W4313250582,human,inDomain
W3042958967,other,inDomain
W3040709534,plant,inDomain
W3005090698,plant,inDomain
W4220825103,other,inDomain
W3016350077,microbiome,inDomain
W3110382400,human,inDomain
W4280570469,other,inDomain
W4382893389,human,inDomain
W4221082304,tool-method,inDomain
W4226261637,microbiome,inDomain
W4294001681,microbiome,inDomain
W3033359651,virus,inDomain
W3017309630,microbiome,inDomain
W2998988705,other,inDomain
W3011413344,human,inDomain
W3007671504,human,inDomain
W4210670259,virus,inDomain
W3197386930,plant,inDomain
W3158509501,human,inDomain
W3009215254,virus,inDomain
W3015968582,other,inDomain
W3015363306,plant,inDomain
W3014077108,plant,inDomain
W3184992463,tool-method,inDomain
W4387410180,plant,inDomain
W3122533633,other,inDomain
W3200472081,human,inDomain
W3087838915,plant,inDomain
W4213436894,human,inDomain
W3133503807,plant,inDomain
W3088172122,human,inDomain
